City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Springbok,ZA,76.53,clear sky,-29.66,17.89,Undulata Country Lodge
2,Sinnamary,GF,75.88,moderate rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
3,Arraial Do Cabo,BR,75.2,overcast clouds,-22.97,-42.03,Pousada Porto Praia
8,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
9,Atuona,PF,78.48,clear sky,-9.8,-139.03,Villa Enata
16,Rikitea,PF,78.06,overcast clouds,-23.12,-134.97,People ThankYou
20,Gizo,SB,82.94,overcast clouds,-8.1,156.84,Imagination Island
41,Butaritari,KI,82.36,light rain,3.07,172.79,Isles Sunset Lodge
51,Natal,BR,80.82,few clouds,-5.79,-35.21,Hotel Natal
60,Hithadhoo,MV,82.18,overcast clouds,-0.6,73.08,Scoop Guest House
72,Saint-Philippe,RE,81.95,moderate rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
74,Mahebourg,MU,84.49,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
76,Bathsheba,BB,75.81,few clouds,13.22,-59.52,Atlantis Hotel
77,Bengkulu,ID,81.84,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
87,Avarua,CK,78.85,scattered clouds,-21.21,-159.78,Paradise Inn
89,Souillac,MU,84.58,light rain,-20.52,57.52,Bils' Villa
100,Sao Jose Da Coroa Grande,BR,78.55,broken clouds,-8.9,-35.15,Crôa Mares Hotel
103,Porto Novo,BJ,78.62,clear sky,6.5,2.6,Tour Eiffel Hotel Benin
109,Meulaboh,ID,84.29,broken clouds,4.14,96.13,Kost Pria
118,Mount Isa,AU,89.37,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
122,Katobu,ID,87.94,broken clouds,-4.94,122.53,La Ode Husein
123,Morant Bay,JM,76.62,clear sky,17.88,-76.41,Whispering Bamboo Cove Resort
127,Faanui,PF,80.78,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
130,Vanimo,PG,81.63,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
135,Cockburn Town,TC,75.34,overcast clouds,21.46,-71.14,Osprey Beach Hotel
138,Mitsamiouli,KM,88.09,light rain,-11.38,43.28,Foyer ADM
142,Montego Bay,JM,75.0,few clouds,18.47,-77.92,Sunscape Splash Montego Bay
152,Vila Velha,BR,75.15,broken clouds,-20.33,-40.29,Quality Suites Vila Velha
162,Acarau,BR,77.18,overcast clouds,-2.89,-40.12,castelo pizzaria
178,Pitimbu,BR,77.59,overcast clouds,-7.47,-34.81,Reserva do Abiaí
184,Saint-Georges,GD,77.43,overcast clouds,12.06,-61.75,Radisson Grenada Beach Resort
186,Miri,MY,87.94,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
188,Lokoja,NG,82.27,clear sky,7.8,6.74,Hotel Charvid
191,Kavieng,PG,83.05,scattered clouds,-2.57,150.8,Nusa Island Retreat
192,Basoko,CD,82.18,overcast clouds,1.24,23.62,Jackyna Hotel
199,Shegaon,IN,78.91,clear sky,20.78,76.68,OYO 40884 Hotel Vighnharta Inn
200,Carutapera,BR,77.29,overcast clouds,-1.2,-46.02,Lidera
202,Alofi,NU,75.09,overcast clouds,-19.06,-169.92,Taloa Heights
204,Lakatoro,VU,77.81,moderate rain,-16.1,167.42,Lakatoro Palm Lodge
211,La Asuncion,VE,76.73,clear sky,11.03,-63.86,Colinas de Matasiete
212,Lalmohan,BD,75.31,few clouds,22.34,90.74,Sundorbon courier service
213,Kapit,MY,81.19,overcast clouds,2.02,112.93,Hotel Meligai Kapit
214,Grand Gaube,MU,84.6,overcast clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
217,Kiunga,PG,85.98,overcast clouds,-6.12,141.29,Airport Lodge Kiunga
218,Galle,LK,81.63,clear sky,6.04,80.22,Amangalla
231,Marzuq,YE,77.59,broken clouds,14.4,46.47,
239,Vao,NC,77.68,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
243,Jijiga,ET,75.22,clear sky,9.35,42.8,RAMAAS HOTEL
248,Sarramea,NC,83.32,overcast clouds,-21.64,165.85,Hotel Evasion
266,May Pen,JM,76.21,clear sky,17.96,-77.25,Mus Com Bac
267,Kencong,ID,83.71,overcast clouds,-8.28,113.37,GUBUK SUGIANTO
277,Tabou,CI,78.87,broken clouds,4.42,-7.35,hotêl doufoulougou
281,Fare,PF,80.65,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
283,Ballina,AU,75.16,broken clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
288,Moissala,TD,81.75,broken clouds,8.34,17.77,
