City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.60,-73.97,35.47,89,100,1.99,snow
1,Springbok,ZA,-29.66,17.89,76.53,30,0,5.5,clear sky
2,Sinnamary,GF,5.38,-52.95,75.88,90,80,11.27,moderate rain
3,Arraial Do Cabo,BR,-22.97,-42.03,75.2,91,100,1.9,overcast clouds
4,Nancha,CN,47.13,129.27,5.18,75,100,8.46,overcast clouds
5,Sikonge,TZ,-5.63,32.77,69.89,80,100,3.29,moderate rain
6,Constitucion,CL,-35.33,-72.42,56.77,91,53,2.15,broken clouds
7,Tasiilaq,GL,65.61,-37.64,10.56,62,100,6.38,overcast clouds
8,Vaini,TO,-21.20,-175.20,78.96,89,75,6.91,broken clouds
9,Atuona,PF,-9.80,-139.03,78.48,74,1,20.15,clear sky
10,Freeport,US,40.66,-73.58,56.98,88,100,18.01,overcast clouds
11,Puerto Ayora,EC,-0.74,-90.35,72.55,94,5,4.16,clear sky
12,Yellowknife,CA,62.46,-114.35,-31.45,68,0,4.61,clear sky
13,Hauterive,FR,46.09,3.45,41.76,84,100,4.72,overcast clouds
14,Torbay,CA,47.67,-52.73,41.58,92,100,19.57,overcast clouds
15,Rock Sound,BS,24.90,-76.20,74.35,60,98,16.93,overcast clouds
16,Rikitea,PF,-23.12,-134.97,78.06,76,100,16.98,overcast clouds
17,Barra Patuca,HN,15.80,-84.28,74.25,90,5,6.15,clear sky
18,Barrow,US,71.29,-156.79,-27.38,68,75,5.75,haze
19,Bluff,NZ,-46.60,168.33,53.8,73,100,7.9,overcast clouds
20,Gizo,SB,-8.10,156.84,82.94,73,93,7.83,overcast clouds
21,Bani,DO,18.28,-70.33,69.75,78,6,10.09,clear sky
22,Laval,CA,45.57,-73.69,12.42,85,100,5.01,light snow
23,Nikolskoye,RU,59.70,30.79,8.8,100,100,3.89,overcast clouds
24,Severo-Kurilsk,RU,50.68,156.12,29.07,85,100,6.85,overcast clouds
25,Punta Arenas,CL,-53.15,-70.92,41.11,70,75,11.5,broken clouds
26,Lata,PT,40.16,-8.33,47.07,96,100,2.19,overcast clouds
27,Ushuaia,AR,-54.80,-68.30,40.66,70,20,12.66,few clouds
28,Selma,US,36.57,-119.61,44.85,59,8,3.15,clear sky
29,Mount Gambier,AU,-37.83,140.77,69.71,52,95,23.02,overcast clouds
30,Lompoc,US,34.64,-120.46,52.52,93,0,4.61,clear sky
31,Hofn,IS,64.25,-15.21,31.89,54,99,16.37,overcast clouds
32,Hermanus,ZA,-34.42,19.23,70.9,54,17,12.84,few clouds
