City_ID,City,Country,Date,Lat,Lng,Max Temp,Max Temp,Max Temp,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ponta Do Sol,PT,2022-02-02 21:55:24,32.6667,-17.1,67.01,67.01,67.01,67.01,78,100,6.08
1,Victoria,HK,2022-02-02 21:55:42,22.2855,114.1577,60.94,60.94,60.94,60.94,93,100,7.0
2,Ushuaia,AR,2022-02-02 21:55:43,-54.8,-68.3,46.06,46.06,46.06,46.06,57,75,20.71
3,Nanortalik,GL,2022-02-02 21:54:10,60.1432,-45.2371,6.84,6.84,6.84,6.84,67,29,7.96
4,Saint George,US,2022-02-02 21:54:12,37.1041,-113.5841,43.63,43.63,43.63,43.63,19,0,1.01
5,Albany,US,2022-02-02 21:55:44,42.6001,-73.9662,42.57,42.57,42.57,42.57,75,82,7.52
6,Mahebourg,MU,2022-02-02 21:55:20,-20.4081,57.7,79.25,79.25,79.25,79.25,100,75,33.38
7,Vaini,TO,2022-02-02 21:55:44,-21.2,-175.2,86.16,86.16,86.16,86.16,70,20,8.05
8,Hilo,US,2022-02-02 21:55:44,19.7297,-155.09,78.12,78.12,78.12,78.12,75,28,3.0
9,Cape Town,ZA,2022-02-02 21:55:18,-33.9258,18.4232,66.11,66.11,66.11,66.11,90,40,1.01
10,Papara,BR,2022-02-02 21:55:45,-3.9839,-38.7273,81.0,81.0,81.0,81.0,89,56,3.96
11,Khatanga,RU,2022-02-02 21:55:45,71.9667,102.5,-36.9,-36.9,-36.9,-36.9,98,47,1.25
12,Provideniya,RU,2022-02-02 21:55:46,64.3833,-173.3,10.51,10.51,10.51,10.51,72,75,38.03
13,Port Elizabeth,ZA,2022-02-02 21:55:46,-33.918,25.5701,72.1,72.1,72.1,72.1,100,75,13.8
14,Usinsk,RU,2022-02-02 21:55:47,65.9939,57.5281,15.37,15.37,15.37,15.37,96,100,8.32
15,Puerto Ayora,EC,2022-02-02 21:55:19,-0.7393,-90.3518,82.36,82.36,82.36,82.36,89,37,5.99
16,Bambanglipuro,ID,2022-02-02 21:55:47,-7.95,110.2833,60.6,60.6,60.6,60.6,85,100,4.85
17,Cap-Aux-Meules,CA,2022-02-02 21:55:48,47.3821,-61.8597,26.65,26.65,26.65,26.65,80,75,11.5
18,Rikitea,PF,2022-02-02 21:54:59,-23.1203,-134.9692,78.46,78.46,78.46,78.46,73,100,7.78
19,Fez,MA,2022-02-02 21:52:44,34.0372,-4.9998,55.65,55.65,55.65,55.65,30,0,9.22
20,Pochutla,MX,2022-02-02 21:55:49,15.7432,-96.4661,85.82,85.82,85.82,85.82,47,0,9.6
21,Bluff,NZ,2022-02-02 21:55:49,-46.6,168.3333,58.8,58.8,58.8,58.8,66,100,16.69
22,Hermanus,ZA,2022-02-02 21:55:49,-34.4187,19.2345,65.89,65.89,65.89,65.89,87,5,11.12
